alias,team
USA,United States of America
United States,United States of America
Taiwan,Chinese Taipei
Korea,Republic of Korea
Kingdom of the Netherlands,Netherlands
Czech Republic,Czechia
South Korea,Republic of Korea
Korea,Republic of Korea
Netherlands,Netherlands
Australia,Australia
Venezuela,Venezuela
Dominican Republic,Dominican Republic
Puerto Rico,Puerto Rico
Mexico,Mexico
Bolivia,Bolivia
United States Virgin Islands,Virgin Islands
"Hong Kong, China",Hong Kong
Mariana Islands,Northern Mariana Islands
Micronesia,Federated States of Micronesia
